Tool Name,Researcher,Deep Dive,Category,Language,Website,OS License,Version Control,Maintaner(s),Initial Release,Last Active Date,Alternate Tools,Notes,Source,,,,,,,,,,,
ua-tester,SS,,Information Gathering,Python,http://blog.c22.cc/toolsscripts/ua-tester/,BSD,SVN,Chris John Rilet,12/20/2010,12/20/2010,,,Kali repos,,,,,,,,,,,
udptunnel,SS,,System Services,C,http://www.cs.columbia.edu/~lennox/udptunnel/,Custom,None,Jonathan Lennox,5/19/1999,9/6/2001,,,Kali repos,,,,,,,,,,,
unicornscan,SS,,Information Gathering,"Assembly, C",http://www.unicornscan.org/,GPLv2,SVN,Jack C. Louis,3/3/2004,5/30/2013,,,Kali repos,,,,,,,,,,,
uniscan,SS,,Vulnerability Analysis,Perl,http://sourceforge.net/projects/uniscan/,None,Git,Douglas Poerschke Rocha,6/17/2011,8/18/2012,,,Kali repos,,,,,,,,,,,
unix-privesc-check,SS,,System Services,Shell,http://pentestmonkey.net/tools/audit/unix-privesc-check,GPLv2,SVN,Tim Brown,2/1/2008,11/24/2012,,,Kali repos,,,,,,,,,,,
upx-ucl,SS,,Exploitation Tools,C++,http://upx.sourceforge.net/,GPLv2,Mercurial,John F. Reiser,5/26/1998,9/30/2013,,,Kali repos,,,,,,,,,,,
urlcrazy,SS,,Information Gathering,Ruby,http://www.morningstarsecurity.com/research/urlcrazy,Custom / Restrictive,None,Andrew Horton,3/7/2011,7/18/2012,,,Kali repos,,,,,,,,,,,
vega,SS,,Web Applications,Java,http://subgraph.com/products.html,Eclipse Public License 1.0,None,"Bruce Leidl, Cade Cairns",9/7/2010,6/22/2011,,,Kali repos,,,,,,,,,,,
vinetto,SS,,Forensics,Python,http://vinetto.sourceforge.net/,GPLv2,SVN,Michel Roukine,3/25/2006,6/14/2007,,,Kali repos,,,,,,,,,,,
voiphopper,SS,,Vulnerability Analysis,C,http://voiphopper.sourceforge.net/,GPLv3,N/A,Jason Ostrom,10/22/2007,4/27/2012,,,Kali repos,,,,,,,,,,,
volafox,SS,,Reverse Engineering,Python,https://code.google.com/p/volafox/,GPLv2,SVN,rapfer,10/3/2010,2/3/2014,,,Kali repos,,,,,,,,,,,
volatility,SS,,Reverse Engineering,Python,https://code.google.com/p/volatility/,GPLv2,SVN,"Mike Auty, Andrew Case, Michael Cohen, Brendan Dolan-Gavittm, Michael Hale Ligh, Jamie Levy, Aaron Walters",4/8/2009,10/7/2013,,,Kali repos,,,,,,,,,,,
w3af,SS,,Web Applications,Python,http://w3af.org/,GPLv2,Git,"Miroslav Stampar, Bernardo Damele A. G., Andres Riancho",1/31/2008,1/29/2013,w3af-console,,Kali repos,,,,,,,,,,,
waffit,SS,,Web Applications,Python,https://code.google.com/p/waffit/,BSD,SVN,Sandro Gauci,5/7/2009,7/11/2013,,,Kali repos,,,,,,,,,,,
wapiti,SS,,Web Applications,Python,http://wapiti.sourceforge.net/,GPLv2,SVN,Nicolas Surribas,4/25/2006,10/20/2013,,,Kali repos,,,,,,,,,,,
wce,SS,,Information Gathering,Unknown,http://www.ampliasecurity.com/research/wcefaq.html,Custom,N/A,Amplia Security,Unknown,11/11/2013,,The source is not made available for this tool,Kali repos,,,,,,,,,,,
webacoo,SS,,Maintaining Access,Perl,https://github.com/anestisb/WeBaCoo,GPLv3,Git,Anestis Bechtsoudis,11/28/2011,3/11/2012,,,Kali repos,,,,,,,,,,,
webscarab,SS,,Web Applications,Java,https://github.com/OWASP/OWASP-WebScarab,GPLv2,Git,Rogan Dawes,8/30/2002,11/13/2013,,,Kali repos,,,,,,,,,,,
webshag,SS,,Web Applications,Python,http://www.scrt.ch/en/attack/downloads/webshag,GPLv3,None,SCRT Information Security,2/20/2008,3/4/2008,,,Kali repos,,,,,,,,,,,
webshells,SS,,Maintaining Access,Various,N/A,Various,N/A,N/A,N/A,N/A,,This is a collection of various webshells that have been submitted by the community much like the windows-binaries this is less software more a collection of things compiled.,Kali repos,,,,,,,,,,,
webslayer,SS,,Web Applications,Python,https://code.google.com/p/webslayer/,GPLv2,SVN,laramies,2/26/2008,2/24/2011,,,Kali repos,,,,,,,,,,,
websploit,SS,,Vulnerability Analysis,Python,http://sourceforge.net/projects/websploit/,GPLv3,SVN,Fardin Allahverdinazhand,2/24/2012,6/18/2013,,,Kali repos,,,,,,,,,,,
weevely,SS,,Maintaining Access,Python,http://epinna.github.io/Weevely/,GPLv3,Git,"Emilio Pinn, Darren Martyn",3/8/2010,2/5/2014,,,Kali repos,,,,,,,,,,,
wepbuster,SS,,Wireless Attacks,Perl,https://code.google.com/p/wepbuster/,BSD,SVN,Mark Jayson Alvarez,5/31/2009,4/6/2010,,,Kali repos,,,,,,,,,,,
wfuzz,SS,,Web Applications,Python,http://www.edge-security.com/wfuzz.php,GPLv2,SVN,"Xavi Mendez, Carlos del ojo, Christian Martorella",5/14/2010,8/31/2012,,,Kali repos,,,,,,,,,,,
whatweb,SS,,Information Gathering,Ruby,http://www.morningstarsecurity.com/research/whatweb,GPLv2,Git,Andrew Horton,9/30/2010,5/16/2013,,,Kali repos,,,,,,,,,,,
whiptail,SS,,System Services,C,https://fedorahosted.org/newt/,GPLv2,Git,"Savio Lam, Stuart Herbert",3/25/1996,1/28/2014,,This is more of a core system library rather than a security tool,Kali repos,,,,,,,,,,,
wifi-honey,ow,SS,Wireless Attacks,bash,http://www.digininja.org/projects/wifi_honey.php,Creative Commons Attribution-Share Alike 2.0,,Robin Wood - digininja,2011,7/31/2011,,This tool is used to illustrate creating an airbase,Kali repos,,,,,,,,,,,
wifitap,SS,,Wireless Attacks,Python,http://sid.rstack.org/static/articles/w/i/f/Wifitap_EN_9613.html#Wifitap_source_code,GPLv2,Git,Cedric Blancher,5/23/2005,10/8/2006,,"Another person name 'Oliver Lavery' seems to have taken control of the repo but all he has done is removed some commented, updated the version and added his name so I left him out as the maintainer",Kali repos,,,,,,,,,,,
wifite,OW,,Wireless Attacks,Python,http://code.google.com/p/wifite/,GPLv2,Git," Brian Wallace bwall, 2010-2012 Derv Merkler, 
            bryan alexander
            hatRiot
          ",7/1/2011,8/17/2013,,"Automated Wireless attack tool for cracking WEP, WPA, and WPS - Tool is basically a python script automating the functions of many well known wireless tools - this project was based off of wepbuster (now deprecated) which was written in perl ",Kali repos,,,,,,,,,,,
windows-binaries,SS,,Maintaining Access,Various,N/A,N/A,None,Devon Kearns,N/A,N/A,"enumplus, exe2bat, fport, Hyperion, klogger, mbenum, nbtenum, nc, plink, radmin, sbd, vncviewer, wget, whoami","This is actually a collection of various binaries across many different languages, sources, and various licenses. Because these are being distributed as binaries it's hard to trace back.",Kali repos,,,,,,,,,,,
winexe,SS,,Maintaining Access,C,http://sourceforge.net/projects/winexe/,GPLv3,Git,"Thomas Hood, Andrzej Hajda",5/4/1996,1/7/2014,,,Kali repos,,,,,,,,,,,
wireshark,,,,,,,,,,,wireshark-common,major project,Kali repos,,,,,,,,,,,
wol-e,SS,,Information Gathering,Python,https://code.google.com/p/wol-e/,GPLv3,Mercurial,Nathaniel Carew,1/1/2012,3/1/2012,,,Kali repos,,,,,,,,,,,
wordlists,SS,,Password Attacks,None,None,None,None,None,12/1/2009,12/1/2009,,The was the contents of a cracked database from RockYou,Kali repos,,,,,,,,,,,
wpscan,SS,,Web Applications,Ruby,http://wpscan.org/,GPLv3,Git,Ryan Dewhurst,7/11/2012,2/11/2014,,,Kali repos,,,,,,,,,,,
xprobe,SS,SS,Information Gathering,C,http://sourceforge.net/projects/xprobe/,GPLv2,Git,"Fyodor Yarochkin, Ofir Arkin",7/9/2001,6/4/2013,xprobe-ng,"Latest update is for xprobe-ng, an official rewrite / new version",Kali repos,,,,,,,,,,,
xspy,SS,,Sniffing/Spoofing,C,http://www.acm.vt.edu/~jmaxwell/programs/xspy/xspy.html,None,None,Jon A Maxwell,8/13/2001,??,,"Website is down, looks like it was hosted on a university server that cleaned up the account",Kali repos,,,,,,,,,,,
xsser,SS,,Web Applications,Python,http://xsser.sourceforge.net/,GPLv3,svn,"""lordepsylon""",3/16/2010,11/28/2011,,,Kali repos,,,,,,,,,,,
yersinia,SS,,Vulnerability Analysis,C,http://www.yersinia.net/index.htm,GPLv2,Git,"David Barroso Berrueta (tomac), Alfredo Andrés Omella (Slay), ",1/26/2007,9/19/2013,,,Kali repos,,,,,,,,,,,
zaproxy,SS,,Web Applications,Java / Python,https://code.google.com/p/zaproxy/,Apache 2.0,SVN,OWASP,8/16/2010,2/11/2013,,,Kali repos,,,,,,,,,,,
